Location,Latitude,Longitude
Ahmednagar,19.05,74.48
Akola,20.42,77.02
Amravati,20.56,77.48
Aurangabad,19.53,75.23
Bhandara,21.09,79.42
Mumbai,18.55,72.54
Buldhana,20.32,76.14
Chandrapur,19.57,79.21
Dhule,20.58,74.47
Gondia,21.28,80.29
Hingoli,19.43,77.11
Jalgaon,21.05,75.4
Jalna,19.51,75.56
Kolhapur,16.42,74.16
Latur,18.24,76.36
Nagpur,21.09,79.09
Nanded,19.09,77.27
Nandurbar,21.23,74.19
Nashik,20.02,73.5
Osmanabad,18.08,76.06
Parbhani,19.08,76.5
Pune,18.31,73.55
Ratnagiri,17.08,73.19
Sangli,16.52,74.36
Satara,17.42,74.02
Thane,19.12,73.02
Yavatmal,20.23,78.11
Washim,20.1,77.14
Solapur,17.66,75.9
Sindhudurg,16.34,73.55
Raigad,18.51,73.18
Palghar,19.69,72.76
Gadchiroli,20.18,79.99
Beed,18.99,75.75
Wardha ,20.74,78.6
